repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/002	1.10116830578377	1.71476657772941	14742	1.5	1.22222222222222	HGT
AJB/007/002	-1.02983897116266	-0.118994010527824	45	-1	-1	HGT
AJB/007/002	-1.33426858215501	-0.904891405495212	380.952380952397	-1	-0.555555555555556	HGT
AJB/007/002	0.492309083799076	1.19083498108449	5880	0	0.333333333333333	HGT
AJB/007/002	0.796738694791424	4.85835615759897	31033469.3877578	3	3	HGT
AJB/007/002	-1.33426858215501	-1.16685720381767	12	-1	-0.555555555555556	HGT
AJB/007/002	0.492309083799076	0.404937586117101	6	-1	-0.555555555555556	HGT
AJB/007/002	-1.02983897116266	-0.904891405495212	18	-1	-0.555555555555556	HGT
AJB/007/002	1.71002752776847	1.45280077940695	102.857142857147	1.5	1.66666666666667	HGT
AJB/007/002	1.40559791677612	3.81049296430912	5000	2	2.11111111111111	HGT
AJB/007/002	1.71002752776847	1.71476657772941	360	2.5	2.55555555555556	HGT
AJB/007/002	1.10116830578377	1.71476657772941	68.5714285714316	0	0.333333333333333	HGT
AJB/007/002	1.71002752776847	2.23869817437434	16163.2653061238	2	2.11111111111111	HGT
AJB/007/002	1.10116830578377	0.666903384439564	2	-1	-0.555555555555556	HGT
AJB/007/002	-0.116550138185619	0.142971787794639	40.5	-0.5	-0.555555555555556	HGT
AJB/007/002	2.92774597173786	4.07245876263158	27428.5714285726	0.5	3	HGT
AJB/007/002	2.31888674975316	1.97673237605188	486	0.5	0.333333333333333	HGT
AJB/007/002	0.492309083799076	1.97673237605188	64512	1.5	1.22222222222222	HGT
AJB/007/002	0.492309083799076	0.404937586117101	288	0.5	1.22222222222222	HGT
AJB/007/002	2.31888674975316	4.5963903592765	20250	3	3	HGT
AJB/007/002	1.71002752776847	3.02459556934173	144	2.5	2.11111111111111	HGT
AJB/007/002	0.187879472806728	0.928869182762027	1944	0.5	1.22222222222222	HGT
AJB/007/002	-0.116550138185619	0.142971787794639	3	-1	0.333333333333333	ILS
AJB/007/002	0.796738694791424	0.928869182762027	1.66666666666667	-1	-1	ILS
AJB/007/002	-1.02983897116266	-0.904891405495212	4	0.5	1.22222222222222	ILS
AJB/007/002	-1.02983897116266	-1.16685720381767	1.5	-1	-0.555555555555556	ILS
AJB/007/002	-1.02983897116266	-0.904891405495212	1.5	-1	-1	ILS
AJB/007/002	0.492309083799076	0.928869182762027	1	-1	-1	ILS
AJB/007/002	-1.02983897116266	-0.904891405495212	1.5	-1	-1	ILS
AJB/007/002	0.187879472806728	0.142971787794639	4.5	-1	-1	ILS
AJB/007/002	-0.420979749177967	-0.118994010527824	2.5	-1	-1	ILS
AJB/007/002	0.187879472806728	-0.118994010527824	2	-0.5	-0.555555555555556	ILS
AJB/007/002	0.187879472806728	-0.118994010527824	6	-1	-1	ILS
AJB/007/002	-0.116550138185619	-0.118994010527824	1	-0.5	0.333333333333333	ILS
AJB/007/002	-1.02983897116266	-1.16685720381767	2	-1	-1	ILS
AJB/007/002	-0.725409360170315	-0.380959808850287	2	-0.5	-0.555555555555556	ILS
AJB/007/002	0.187879472806728	-0.118994010527824	1	0	-0.111111111111111	ILS
AJB/007/002	0.796738694791424	0.404937586117101	6.75	1.5	1.22222222222222	ILS
AJB/007/002	0.187879472806728	0.404937586117101	3	-1	-0.555555555555556	ILS
AJB/007/002	0.492309083799076	0.666903384439564	1.33333333333333	-1	-1	ILS
AJB/007/002	0.796738694791424	0.404937586117101	1.5	0.5	0.333333333333333	ILS
AJB/007/002	0.187879472806728	0.142971787794639	1	0	-0.111111111111111	ILS
AJB/007/002	-0.725409360170315	-0.904891405495212	1	-0.5	-0.111111111111111	ILS
AJB/007/002	-0.725409360170315	-0.642925607172749	1	-1	-1	ILS
AJB/007/002	-0.420979749177967	-0.118994010527824	3	-1	-1	ILS
AJB/007/002	-1.33426858215501	-0.904891405495212	5.71428571428596	-1	-1	ILS
AJB/007/002	0.187879472806728	0.666903384439564	3.375	-1	-1	ILS
AJB/007/002	-0.420979749177967	-0.380959808850287	1.90476190476199	-1	-1	ILS
AJB/007/002	-1.33426858215501	-1.42882300214014	2	-1	-0.555555555555556	ILS
AJB/007/002	-0.116550138185619	-0.118994010527824	1	-1	-1	ILS
AJB/007/002	1.10116830578377	0.928869182762027	5.71428571428596	0.5	0.333333333333333	ILS
AJB/007/002	1.71002752776847	1.45280077940695	5.0793650793653	0	0.333333333333333	ILS
AJB/007/002	-0.725409360170315	-0.642925607172749	4	-1	-1	ILS
AJB/007/002	-1.33426858215501	-1.42882300214014	1	-1	-1	ILS
AJB/007/002	-1.63869819314736	-1.42882300214014	2	-1	-1	ILS
